"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
10314,"$100,000 under $200,000","8,360"
10314,"$200,000 or more","2,390"
10451,Total,"24,660"
10451,"$1 under $25,000","10,490"
10451,"$25,000 under $50,000","8,230"
10451,"$50,000 under $75,000","3,600"
10451,"$75,000 under $100,000","1,250"
10451,"$100,000 under $200,000","1,000"
10451,"$200,000 or more",90
10452,Total,"37,360"
10452,"$1 under $25,000","17,970"
10452,"$25,000 under $50,000","12,490"
10452,"$50,000 under $75,000","4,630"
10452,"$75,000 under $100,000","1,390"
10452,"$100,000 under $200,000",830
10452,"$200,000 or more",50
10453,Total,"38,740"
10453,"$1 under $25,000","19,330"
10453,"$25,000 under $50,000","12,860"
10453,"$50,000 under $75,000","4,420"
10453,"$75,000 under $100,000","1,320"
10453,"$100,000 under $200,000",770
10453,"$200,000 or more",40
10454,Total,"15,970"
10454,"$1 under $25,000","7,820"
10454,"$25,000 under $50,000","5,240"
10454,"$50,000 under $75,000","1,890"
10454,"$75,000 under $100,000",540
10454,"$100,000 under $200,000",420
10454,"$200,000 or more",60
10455,Total,"18,590"
10455,"$1 under $25,000","8,560"
10455,"$25,000 under $50,000","6,480"
10455,"$50,000 under $75,000","2,380"
10455,"$75,000 under $100,000",710
10455,"$100,000 under $200,000",420
10455,"$200,000 or more",40
10456,Total,"41,440"
10456,"$1 under $25,000","20,560"
10456,"$25,000 under $50,000","13,880"
10456,"$50,000 under $75,000","4,690"
10456,"$75,000 under $100,000","1,430"
10456,"$100,000 under $200,000",850
10456,"$200,000 or more",30
10457,Total,"34,020"
10457,"$1 under $25,000","16,800"
10457,"$25,000 under $50,000","11,310"
10457,"$50,000 under $75,000","3,920"
10457,"$75,000 under $100,000","1,200"
10457,"$100,000 under $200,000",740
10457,"$200,000 or more",50
10458,Total,"35,180"
10458,"$1 under $25,000","16,690"
10458,"$25,000 under $50,000","11,420"
10458,"$50,000 under $75,000","4,460"
10458,"$75,000 under $100,000","1,510"
10458,"$100,000 under $200,000","1,040"
10458,"$200,000 or more",60
10459,Total,"22,010"
10459,"$1 under $25,000","10,240"
10459,"$25,000 under $50,000","7,490"
10459,"$50,000 under $75,000","2,780"
10459,"$75,000 under $100,000",890
10459,"$100,000 under $200,000",580
10459,"$200,000 or more",30
10460,Total,"26,490"
10460,"$1 under $25,000","12,420"
10460,"$25,000 under $50,000","9,030"
10460,"$50,000 under $75,000","3,220"
10460,"$75,000 under $100,000","1,060"
10460,"$100,000 under $200,000",720
10460,"$200,000 or more",40
10461,Total,"24,840"
10461,"$1 under $25,000","7,700"
