"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
13802,"$200,000 or more",**
13803,Total,"1,840"
13803,"$1 under $25,000",590
13803,"$25,000 under $50,000",520
13803,"$50,000 under $75,000",310
13803,"$75,000 under $100,000",200
13803,"$100,000 under $200,000",220
13803,"$200,000 or more",**
13804,Total,200
13804,"$1 under $25,000",60
13804,"$25,000 under $50,000",60
13804,"$50,000 under $75,000",60
13804,"$75,000 under $100,000",**
13804,"$100,000 under $200,000",20
13804,"$200,000 or more",**
13807,Total,600
13807,"$1 under $25,000",180
13807,"$25,000 under $50,000",160
13807,"$50,000 under $75,000",90
13807,"$75,000 under $100,000",70
13807,"$100,000 under $200,000",100
13807,"$200,000 or more",**
13808,Total,780
13808,"$1 under $25,000",260
13808,"$25,000 under $50,000",200
13808,"$50,000 under $75,000",120
13808,"$75,000 under $100,000",80
13808,"$100,000 under $200,000",120
13808,"$200,000 or more",**
13809,Total,700
13809,"$1 under $25,000",240
13809,"$25,000 under $50,000",200
13809,"$50,000 under $75,000",110
13809,"$75,000 under $100,000",80
13809,"$100,000 under $200,000",70
13809,"$200,000 or more",**
13810,Total,540
13810,"$1 under $25,000",190
13810,"$25,000 under $50,000",130
13810,"$50,000 under $75,000",100
13810,"$75,000 under $100,000",50
13810,"$100,000 under $200,000",70
13810,"$200,000 or more",**
13811,Total,"1,970"
13811,"$1 under $25,000",630
13811,"$25,000 under $50,000",500
13811,"$50,000 under $75,000",340
13811,"$75,000 under $100,000",210
13811,"$100,000 under $200,000",250
13811,"$200,000 or more",40
13812,Total,"1,020"
13812,"$1 under $25,000",320
13812,"$25,000 under $50,000",290
13812,"$50,000 under $75,000",170
13812,"$75,000 under $100,000",110
13812,"$100,000 under $200,000",130
13812,"$200,000 or more",**
13813,Total,410
13813,"$1 under $25,000",140
13813,"$25,000 under $50,000",120
13813,"$50,000 under $75,000",60
13813,"$75,000 under $100,000",40
13813,"$100,000 under $200,000",50
13813,"$200,000 or more",**
13815,Total,"5,980"
13815,"$1 under $25,000","2,070"
13815,"$25,000 under $50,000","1,690"
13815,"$50,000 under $75,000",910
13815,"$75,000 under $100,000",510
13815,"$100,000 under $200,000",660
13815,"$200,000 or more",140
13820,Total,"7,950"
13820,"$1 under $25,000","2,800"
13820,"$25,000 under $50,000","2,040"
13820,"$50,000 under $75,000","1,150"
13820,"$75,000 under $100,000",770
13820,"$100,000 under $200,000","1,000"
13820,"$200,000 or more",190
13825,Total,"1,550"
13825,"$1 under $25,000",510
13825,"$25,000 under $50,000",440
13825,"$50,000 under $75,000",240
13825,"$75,000 under $100,000",160
13825,"$100,000 under $200,000",180
13825,"$200,000 or more",20
13827,Total,"5,300"
13827,"$1 under $25,000","1,730"
13827,"$25,000 under $50,000","1,280"
13827,"$50,000 under $75,000",810
13827,"$75,000 under $100,000",560
13827,"$100,000 under $200,000",740
13827,"$200,000 or more",180
13830,Total,"2,080"
13830,"$1 under $25,000",690
13830,"$25,000 under $50,000",590
13830,"$50,000 under $75,000",340
13830,"$75,000 under $100,000",210
13830,"$100,000 under $200,000",220
13830,"$200,000 or more",30
13832,Total,250
13832,"$1 under $25,000",90
13832,"$25,000 under $50,000",80
13832,"$50,000 under $75,000",60
13832,"$75,000 under $100,000",**
13832,"$100,000 under $200,000",20
13832,"$200,000 or more",0
13833,Total,"1,920"
13833,"$1 under $25,000",640
13833,"$25,000 under $50,000",520
13833,"$50,000 under $75,000",300
13833,"$75,000 under $100,000",210
13833,"$100,000 under $200,000",210
13833,"$200,000 or more",40
13835,Total,620
13835,"$1 under $25,000",200
13835,"$25,000 under $50,000",180
13835,"$50,000 under $75,000",100
13835,"$75,000 under $100,000",70
13835,"$100,000 under $200,000",70
13835,"$200,000 or more",**
13838,Total,"1,930"
13838,"$1 under $25,000",720
13838,"$25,000 under $50,000",550
13838,"$50,000 under $75,000",290
13838,"$75,000 under $100,000",170
13838,"$100,000 under $200,000",200
13838,"$200,000 or more",**
13839,Total,610
13839,"$1 under $25,000",190
13839,"$25,000 under $50,000",170
13839,"$50,000 under $75,000",110
13839,"$75,000 under $100,000",70
13839,"$100,000 under $200,000",70
13839,"$200,000 or more",**
13841,Total,220
13841,"$1 under $25,000",70
13841,"$25,000 under $50,000",70
13841,"$50,000 under $75,000",50
13841,"$75,000 under $100,000",**
13841,"$100,000 under $200,000",30
13841,"$200,000 or more",**
13842,Total,220
13842,"$1 under $25,000",70
13842,"$25,000 under $50,000",60
13842,"$50,000 under $75,000",30
13842,"$75,000 under $100,000",30
13842,"$100,000 under $200,000",30
13842,"$200,000 or more",**
13843,Total,750
13843,"$1 under $25,000",240
13843,"$25,000 under $50,000",220
13843,"$50,000 under $75,000",120
13843,"$75,000 under $100,000",80
13843,"$100,000 under $200,000",90
13843,"$200,000 or more",**
13844,Total,340
13844,"$1 under $25,000",120
13844,"$25,000 under $50,000",100
13844,"$50,000 under $75,000",60
13844,"$75,000 under $100,000",30
13844,"$100,000 under $200,000",30
13844,"$200,000 or more",**
13846,Total,150
13846,"$1 under $25,000",50
13846,"$25,000 under $50,000",50
13846,"$50,000 under $75,000",20
13846,"$75,000 under $100,000",30
13846,"$100,000 under $200,000",**
13846,"$200,000 or more",**
13849,Total,"2,010"
13849,"$1 under $25,000",600
13849,"$25,000 under $50,000",620
13849,"$50,000 under $75,000",340
13849,"$75,000 under $100,000",200
13849,"$100,000 under $200,000",220
13849,"$200,000 or more",30
13850,Total,"10,030"
13850,"$1 under $25,000","2,740"
13850,"$25,000 under $50,000","2,040"
13850,"$50,000 under $75,000","1,450"
13850,"$75,000 under $100,000","1,110"
13850,"$100,000 under $200,000","1,950"
13850,"$200,000 or more",740
13856,Total,"2,670"
13856,"$1 under $25,000",930
13856,"$25,000 under $50,000",750
13856,"$50,000 under $75,000",450
13856,"$75,000 under $100,000",250
13856,"$100,000 under $200,000",260
13856,"$200,000 or more",30
13861,Total,340
13861,"$1 under $25,000",110
13861,"$25,000 under $50,000",80
13861,"$50,000 under $75,000",50
13861,"$75,000 under $100,000",40
13861,"$100,000 under $200,000",60
13861,"$200,000 or more",**
13862,Total,"1,900"
13862,"$1 under $25,000",630
13862,"$25,000 under $50,000",510
13862,"$50,000 under $75,000",310
13862,"$75,000 under $100,000",190
13862,"$100,000 under $200,000",240
13862,"$200,000 or more",20
13863,Total,200
13863,"$1 under $25,000",80
13863,"$25,000 under $50,000",50
13863,"$50,000 under $75,000",40
13863,"$75,000 under $100,000",30
13863,"$100,000 under $200,000",**
13863,"$200,000 or more",**
13864,Total,540
13864,"$1 under $25,000",200
13864,"$25,000 under $50,000",160
13864,"$50,000 under $75,000",80
13864,"$75,000 under $100,000",50
13864,"$100,000 under $200,000",50
13864,"$200,000 or more",**
13865,Total,"2,710"
13865,"$1 under $25,000",870
13865,"$25,000 under $50,000",700
13865,"$50,000 under $75,000",440
13865,"$75,000 under $100,000",330
13865,"$100,000 under $200,000",330
13865,"$200,000 or more",40
13901,Total,"8,660"
13901,"$1 under $25,000","3,240"
13901,"$25,000 under $50,000","2,170"
13901,"$50,000 under $75,000","1,230"
13901,"$75,000 under $100,000",730
13901,"$100,000 under $200,000","1,080"
13901,"$200,000 or more",210
13903,Total,"8,500"
13903,"$1 under $25,000","3,000"
13903,"$25,000 under $50,000","2,250"
13903,"$50,000 under $75,000","1,180"
13903,"$75,000 under $100,000",710
13903,"$100,000 under $200,000","1,050"
13903,"$200,000 or more",310
13904,Total,"4,190"
13904,"$1 under $25,000","1,540"
13904,"$25,000 under $50,000","1,230"
13904,"$50,000 under $75,000",660
13904,"$75,000 under $100,000",320
13904,"$100,000 under $200,000",390
13904,"$200,000 or more",50
13905,Total,"11,050"
13905,"$1 under $25,000","4,380"
13905,"$25,000 under $50,000","2,860"
13905,"$50,000 under $75,000","1,530"
13905,"$75,000 under $100,000",870
13905,"$100,000 under $200,000","1,120"
13905,"$200,000 or more",290
14001,Total,"4,790"
14001,"$1 under $25,000","1,330"
14001,"$25,000 under $50,000","1,170"
14001,"$50,000 under $75,000",780
14001,"$75,000 under $100,000",590
14001,"$100,000 under $200,000",790
14001,"$200,000 or more",130
14004,Total,"5,490"
14004,"$1 under $25,000","1,520"
14004,"$25,000 under $50,000","1,270"
14004,"$50,000 under $75,000",870
14004,"$75,000 under $100,000",690
14004,"$100,000 under $200,000","1,030"
14004,"$200,000 or more",110
14005,Total,980
14005,"$1 under $25,000",310
14005,"$25,000 under $50,000",250
14005,"$50,000 under $75,000",170
14005,"$75,000 under $100,000",110
14005,"$100,000 under $200,000",140
14005,"$200,000 or more",**
14006,Total,"4,760"
14006,"$1 under $25,000","1,430"
14006,"$25,000 under $50,000","1,330"
14006,"$50,000 under $75,000",760
14006,"$75,000 under $100,000",530
14006,"$100,000 under $200,000",610
14006,"$200,000 or more",100
14008,Total,730
14008,"$1 under $25,000",270
14008,"$25,000 under $50,000",160
14008,"$50,000 under $75,000",120
14008,"$75,000 under $100,000",70
14008,"$100,000 under $200,000",110
14008,"$200,000 or more",**
14009,Total,"2,630"
14009,"$1 under $25,000",830
14009,"$25,000 under $50,000",740
14009,"$50,000 under $75,000",420
14009,"$75,000 under $100,000",300
14009,"$100,000 under $200,000",300
14009,"$200,000 or more",40
14011,Total,"2,960"
14011,"$1 under $25,000",880
14011,"$25,000 under $50,000",730
14011,"$50,000 under $75,000",540
14011,"$75,000 under $100,000",360
14011,"$100,000 under $200,000",410
14011,"$200,000 or more",40
14012,Total,"1,110"
14012,"$1 under $25,000",350
14012,"$25,000 under $50,000",290
14012,"$50,000 under $75,000",180
14012,"$75,000 under $100,000",130
14012,"$100,000 under $200,000",160
14012,"$200,000 or more",**
14013,Total,740
14013,"$1 under $25,000",250
14013,"$25,000 under $50,000",210
14013,"$50,000 under $75,000",120
14013,"$75,000 under $100,000",60
14013,"$100,000 under $200,000",100
14013,"$200,000 or more",**
14020,Total,"10,260"
14020,"$1 under $25,000","3,600"
14020,"$25,000 under $50,000","2,910"
14020,"$50,000 under $75,000","1,520"
14020,"$75,000 under $100,000",910
14020,"$100,000 under $200,000","1,140"
14020,"$200,000 or more",180
14024,Total,730
14024,"$1 under $25,000",220
14024,"$25,000 under $50,000",190
14024,"$50,000 under $75,000",130
14024,"$75,000 under $100,000",80
14024,"$100,000 under $200,000",110
14024,"$200,000 or more",**
14025,Total,"1,620"
14025,"$1 under $25,000",420
14025,"$25,000 under $50,000",350
14025,"$50,000 under $75,000",260
14025,"$75,000 under $100,000",180
14025,"$100,000 under $200,000",350
14025,"$200,000 or more",60
14026,Total,460
14026,"$1 under $25,000",120
14026,"$25,000 under $50,000",130
14026,"$50,000 under $75,000",50
14026,"$75,000 under $100,000",70
14026,"$100,000 under $200,000",90
14026,"$200,000 or more",**
14028,Total,760
14028,"$1 under $25,000",240
14028,"$25,000 under $50,000",170
14028,"$50,000 under $75,000",120
14028,"$75,000 under $100,000",100
14028,"$100,000 under $200,000",110
14028,"$200,000 or more",20
14030,Total,760
14030,"$1 under $25,000",220
14030,"$25,000 under $50,000",220
14030,"$50,000 under $75,000",130
14030,"$75,000 under $100,000",80
14030,"$100,000 under $200,000",110
14030,"$200,000 or more",**
14031,Total,"5,090"
14031,"$1 under $25,000","1,410"
14031,"$25,000 under $50,000",890
14031,"$50,000 under $75,000",640
14031,"$75,000 under $100,000",530
14031,"$100,000 under $200,000",980
14031,"$200,000 or more",640
14032,Total,"4,590"
14032,"$1 under $25,000","1,210"
14032,"$25,000 under $50,000",650
14032,"$50,000 under $75,000",470
14032,"$75,000 under $100,000",430
14032,"$100,000 under $200,000","1,100"
14032,"$200,000 or more",730
14033,Total,"1,200"
14033,"$1 under $25,000",270
14033,"$25,000 under $50,000",250
14033,"$50,000 under $75,000",190
14033,"$75,000 under $100,000",160
14033,"$100,000 under $200,000",250
14033,"$200,000 or more",80
14034,Total,860
14034,"$1 under $25,000",240
14034,"$25,000 under $50,000",240
14034,"$50,000 under $75,000",160
14034,"$75,000 under $100,000",110
14034,"$100,000 under $200,000",110
14034,"$200,000 or more",**
14036,Total,"2,420"
14036,"$1 under $25,000",710
14036,"$25,000 under $50,000",590
14036,"$50,000 under $75,000",400
14036,"$75,000 under $100,000",280
14036,"$100,000 under $200,000",390
14036,"$200,000 or more",50
14037,Total,600
14037,"$1 under $25,000",160
14037,"$25,000 under $50,000",130
14037,"$50,000 under $75,000",120
14037,"$75,000 under $100,000",70
14037,"$100,000 under $200,000",120
14037,"$200,000 or more",**
14040,Total,"1,120"
14040,"$1 under $25,000",340
14040,"$25,000 under $50,000",240
14040,"$50,000 under $75,000",190
14040,"$75,000 under $100,000",130
14040,"$100,000 under $200,000",190
14040,"$200,000 or more",30
14042,Total,"1,760"
14042,"$1 under $25,000",620
14042,"$25,000 under $50,000",510
14042,"$50,000 under $75,000",300
14042,"$75,000 under $100,000",180
14042,"$100,000 under $200,000",150
14042,"$200,000 or more",**
14043,Total,"13,220"
14043,"$1 under $25,000","3,880"
14043,"$25,000 under $50,000","3,820"
14043,"$50,000 under $75,000","2,260"
14043,"$75,000 under $100,000","1,420"
14043,"$100,000 under $200,000","1,690"
14043,"$200,000 or more",150
14047,Total,"3,190"
14047,"$1 under $25,000",870
14047,"$25,000 under $50,000",810
14047,"$50,000 under $75,000",540
14047,"$75,000 under $100,000",420
14047,"$100,000 under $200,000",460
14047,"$200,000 or more",90
14048,Total,"6,470"
14048,"$1 under $25,000","2,650"
14048,"$25,000 under $50,000","1,920"
14048,"$50,000 under $75,000",840
14048,"$75,000 under $100,000",530
14048,"$100,000 under $200,000",480
14048,"$200,000 or more",50
14051,Total,"10,850"
14051,"$1 under $25,000","2,750"
14051,"$25,000 under $50,000","1,510"
14051,"$50,000 under $75,000","1,190"
14051,"$75,000 under $100,000","1,070"
14051,"$100,000 under $200,000","2,770"
14051,"$200,000 or more","1,560"
14052,Total,"9,220"
14052,"$1 under $25,000","2,440"
14052,"$25,000 under $50,000","1,640"
14052,"$50,000 under $75,000","1,270"
14052,"$75,000 under $100,000","1,010"
14052,"$100,000 under $200,000","2,080"
14052,"$200,000 or more",780
14054,Total,640
14054,"$1 under $25,000",190
14054,"$25,000 under $50,000",160
14054,"$50,000 under $75,000",100
14054,"$75,000 under $100,000",90
14054,"$100,000 under $200,000",100
14054,"$200,000 or more",**
14055,Total,700
14055,"$1 under $25,000",190
14055,"$25,000 under $50,000",140
14055,"$50,000 under $75,000",140
14055,"$75,000 under $100,000",90
14055,"$100,000 under $200,000",110
14055,"$200,000 or more",30
14057,Total,"4,150"
14057,"$1 under $25,000","1,150"
14057,"$25,000 under $50,000",890
14057,"$50,000 under $75,000",600
14057,"$75,000 under $100,000",490
14057,"$100,000 under $200,000",860
14057,"$200,000 or more",160
14058,Total,"1,000"
14058,"$1 under $25,000",270
14058,"$25,000 under $50,000",270
14058,"$50,000 under $75,000",170
14058,"$75,000 under $100,000",130
14058,"$100,000 under $200,000",160
14058,"$200,000 or more",**
14059,Total,"5,030"
14059,"$1 under $25,000","1,290"
14059,"$25,000 under $50,000",950
14059,"$50,000 under $75,000",680
14059,"$75,000 under $100,000",620
14059,"$100,000 under $200,000","1,150"
14059,"$200,000 or more",340
14060,Total,210
14060,"$1 under $25,000",70
14060,"$25,000 under $50,000",60
14060,"$50,000 under $75,000",40
14060,"$75,000 under $100,000",40
14060,"$100,000 under $200,000",**
14060,"$200,000 or more",**
14062,Total,"1,570"
14062,"$1 under $25,000",540
14062,"$25,000 under $50,000",420
14062,"$50,000 under $75,000",230
14062,"$75,000 under $100,000",170
14062,"$100,000 under $200,000",190
14062,"$200,000 or more",20
14063,Total,"5,140"
14063,"$1 under $25,000","1,670"
14063,"$25,000 under $50,000","1,210"
14063,"$50,000 under $75,000",740
14063,"$75,000 under $100,000",550
14063,"$100,000 under $200,000",820
14063,"$200,000 or more",150
14065,Total,790
14065,"$1 under $25,000",250
14065,"$25,000 under $50,000",210
14065,"$50,000 under $75,000",160
14065,"$75,000 under $100,000",90
14065,"$100,000 under $200,000",80
14065,"$200,000 or more",**
14066,Total,490
14066,"$1 under $25,000",160
14066,"$25,000 under $50,000",130
14066,"$50,000 under $75,000",90
14066,"$75,000 under $100,000",60
14066,"$100,000 under $200,000",50
14066,"$200,000 or more",**
14067,Total,"2,490"
14067,"$1 under $25,000",800
14067,"$25,000 under $50,000",620
14067,"$50,000 under $75,000",360
14067,"$75,000 under $100,000",300
14067,"$100,000 under $200,000",370
14067,"$200,000 or more",40
14068,Total,"3,580"
14068,"$1 under $25,000",970
14068,"$25,000 under $50,000",550
14068,"$50,000 under $75,000",450
14068,"$75,000 under $100,000",370
14068,"$100,000 under $200,000",890
14068,"$200,000 or more",350
14069,Total,460
14069,"$1 under $25,000",120
14069,"$25,000 under $50,000",100
14069,"$50,000 under $75,000",90
14069,"$75,000 under $100,000",50
14069,"$100,000 under $200,000",100
14069,"$200,000 or more",**
14070,Total,"2,290"
14070,"$1 under $25,000",740
14070,"$25,000 under $50,000",660
14070,"$50,000 under $75,000",400
14070,"$75,000 under $100,000",240
14070,"$100,000 under $200,000",220
14070,"$200,000 or more",30
14072,Total,"11,180"
14072,"$1 under $25,000","2,920"
14072,"$25,000 under $50,000","2,150"
14072,"$50,000 under $75,000","1,560"
14072,"$75,000 under $100,000","1,310"
14072,"$100,000 under $200,000","2,490"
14072,"$200,000 or more",750
14075,Total,"23,260"
14075,"$1 under $25,000","6,370"
14075,"$25,000 under $50,000","5,190"
14075,"$50,000 under $75,000","3,640"
14075,"$75,000 under $100,000","2,750"
14075,"$100,000 under $200,000","4,350"
14075,"$200,000 or more",960
14080,Total,"2,100"
14080,"$1 under $25,000",550
14080,"$25,000 under $50,000",500
14080,"$50,000 under $75,000",330
14080,"$75,000 under $100,000",250
14080,"$100,000 under $200,000",410
14080,"$200,000 or more",60
14081,Total,"1,360"
14081,"$1 under $25,000",490
14081,"$25,000 under $50,000",400
14081,"$50,000 under $75,000",180
14081,"$75,000 under $100,000",120
14081,"$100,000 under $200,000",140
14081,"$200,000 or more",30
14082,Total,250
14082,"$1 under $25,000",60
14082,"$25,000 under $50,000",60
14082,"$50,000 under $75,000",50
14082,"$75,000 under $100,000",30
14082,"$100,000 under $200,000",50
14082,"$200,000 or more",**
14085,Total,"4,020"
14085,"$1 under $25,000",980
14085,"$25,000 under $50,000",700
14085,"$50,000 under $75,000",560
14085,"$75,000 under $100,000",540
14085,"$100,000 under $200,000","1,030"
14085,"$200,000 or more",210
14086,Total,"18,410"
14086,"$1 under $25,000","4,770"
14086,"$25,000 under $50,000","3,560"
14086,"$50,000 under $75,000","2,800"
14086,"$75,000 under $100,000","2,090"
14086,"$100,000 under $200,000","4,240"
14086,"$200,000 or more",950
14091,Total,580
14091,"$1 under $25,000",160
14091,"$25,000 under $50,000",190
14091,"$50,000 under $75,000",90
14091,"$75,000 under $100,000",60
14091,"$100,000 under $200,000",80
14091,"$200,000 or more",**
14092,Total,"5,960"
14092,"$1 under $25,000","1,690"
14092,"$25,000 under $50,000","1,210"
14092,"$50,000 under $75,000",880
14092,"$75,000 under $100,000",710
14092,"$100,000 under $200,000","1,130"
14092,"$200,000 or more",340
14094,Total,"25,410"
14094,"$1 under $25,000","8,200"
14094,"$25,000 under $50,000","6,680"
14094,"$50,000 under $75,000","3,810"
14094,"$75,000 under $100,000","2,610"
14094,"$100,000 under $200,000","3,530"
14094,"$200,000 or more",580
14098,Total,"1,410"
14098,"$1 under $25,000",460
14098,"$25,000 under $50,000",410
14098,"$50,000 under $75,000",230
14098,"$75,000 under $100,000",140
14098,"$100,000 under $200,000",150
14098,"$200,000 or more",20
14101,Total,840
14101,"$1 under $25,000",310
14101,"$25,000 under $50,000",240
14101,"$50,000 under $75,000",130
14101,"$75,000 under $100,000",90
14101,"$100,000 under $200,000",70
14101,"$200,000 or more",**
14102,Total,670
14102,"$1 under $25,000",180
14102,"$25,000 under $50,000",140
14102,"$50,000 under $75,000",100
14102,"$75,000 under $100,000",90
14102,"$100,000 under $200,000",130
14102,"$200,000 or more",30
14103,Total,"4,940"
14103,"$1 under $25,000","1,780"
14103,"$25,000 under $50,000","1,460"
14103,"$50,000 under $75,000",750
14103,"$75,000 under $100,000",450
14103,"$100,000 under $200,000",450
14103,"$200,000 or more",50
14105,Total,"2,170"
14105,"$1 under $25,000",700
14105,"$25,000 under $50,000",580
14105,"$50,000 under $75,000",350
14105,"$75,000 under $100,000",240
14105,"$100,000 under $200,000",270
14105,"$200,000 or more",30
14108,Total,"2,840"
14108,"$1 under $25,000",880
14108,"$25,000 under $50,000",750
14108,"$50,000 under $75,000",470
14108,"$75,000 under $100,000",320
14108,"$100,000 under $200,000",370
14108,"$200,000 or more",50
14111,Total,"1,580"
14111,"$1 under $25,000",470
14111,"$25,000 under $50,000",400
14111,"$50,000 under $75,000",260
14111,"$75,000 under $100,000",190
14111,"$100,000 under $200,000",230
14111,"$200,000 or more",30
14113,Total,370
14113,"$1 under $25,000",100
14113,"$25,000 under $50,000",100
14113,"$50,000 under $75,000",60
14113,"$75,000 under $100,000",50
14113,"$100,000 under $200,000",60
14113,"$200,000 or more",**
14120,Total,"22,930"
14120,"$1 under $25,000","6,790"
14120,"$25,000 under $50,000","5,830"
14120,"$50,000 under $75,000","3,610"
14120,"$75,000 under $100,000","2,500"
14120,"$100,000 under $200,000","3,540"
14120,"$200,000 or more",660
14125,Total,"1,700"
14125,"$1 under $25,000",520
14125,"$25,000 under $50,000",470
14125,"$50,000 under $75,000",280
14125,"$75,000 under $100,000",210
14125,"$100,000 under $200,000",190
14125,"$200,000 or more",30
14127,Total,"16,180"
14127,"$1 under $25,000","4,070"
14127,"$25,000 under $50,000","2,900"
14127,"$50,000 under $75,000","2,150"
14127,"$75,000 under $100,000","1,710"
14127,"$100,000 under $200,000","3,530"
14127,"$200,000 or more","1,820"
14129,Total,640
14129,"$1 under $25,000",190
14129,"$25,000 under $50,000",170
14129,"$50,000 under $75,000",140
14129,"$75,000 under $100,000",70
14129,"$100,000 under $200,000",70
14129,"$200,000 or more",**
14131,Total,"2,600"
14131,"$1 under $25,000",790
14131,"$25,000 under $50,000",630
14131,"$50,000 under $75,000",420
14131,"$75,000 under $100,000",290
14131,"$100,000 under $200,000",420
14131,"$200,000 or more",50
14132,Total,"3,030"
14132,"$1 under $25,000",910
14132,"$25,000 under $50,000",760
14132,"$50,000 under $75,000",450
14132,"$75,000 under $100,000",350
14132,"$100,000 under $200,000",500
14132,"$200,000 or more",60
14134,Total,170
14134,"$1 under $25,000",60
14134,"$25,000 under $50,000",40
14134,"$50,000 under $75,000",30
14134,"$75,000 under $100,000",40
14134,"$100,000 under $200,000",**
14134,"$200,000 or more",**
14136,Total,"2,350"
14136,"$1 under $25,000",790
14136,"$25,000 under $50,000",650
14136,"$50,000 under $75,000",370
14136,"$75,000 under $100,000",240
14136,"$100,000 under $200,000",260
14136,"$200,000 or more",40
14138,Total,830
14138,"$1 under $25,000",260
14138,"$25,000 under $50,000",260
14138,"$50,000 under $75,000",150
14138,"$75,000 under $100,000",80
14138,"$100,000 under $200,000",80
14138,"$200,000 or more",**
14139,Total,"1,180"
14139,"$1 under $25,000",310
14139,"$25,000 under $50,000",240
14139,"$50,000 under $75,000",200
14139,"$75,000 under $100,000",140
14139,"$100,000 under $200,000",240
14139,"$200,000 or more",50
14141,Total,"3,720"
14141,"$1 under $25,000","1,130"
14141,"$25,000 under $50,000",930
14141,"$50,000 under $75,000",600
14141,"$75,000 under $100,000",430
14141,"$100,000 under $200,000",540
14141,"$200,000 or more",90
14143,Total,690
14143,"$1 under $25,000",190
14143,"$25,000 under $50,000",170
14143,"$50,000 under $75,000",120
14143,"$75,000 under $100,000",110
14143,"$100,000 under $200,000",100
14143,"$200,000 or more",**
14145,Total,780
14145,"$1 under $25,000",210
14145,"$25,000 under $50,000",200
14145,"$50,000 under $75,000",130
14145,"$75,000 under $100,000",110
14145,"$100,000 under $200,000",130
14145,"$200,000 or more",**
14150,Total,"21,980"
14150,"$1 under $25,000","6,560"
14150,"$25,000 under $50,000","6,120"
14150,"$50,000 under $75,000","3,860"
14150,"$75,000 under $100,000","2,550"
14150,"$100,000 under $200,000","2,630"
14150,"$200,000 or more",260
14167,Total,810
14167,"$1 under $25,000",210
14167,"$25,000 under $50,000",220
14167,"$50,000 under $75,000",150
14167,"$75,000 under $100,000",100
14167,"$100,000 under $200,000",130
14167,"$200,000 or more",**
14170,Total,"1,230"
14170,"$1 under $25,000",290
14170,"$25,000 under $50,000",270
14170,"$50,000 under $75,000",200
14170,"$75,000 under $100,000",160
14170,"$100,000 under $200,000",250
14170,"$200,000 or more",60
14171,Total,980
14171,"$1 under $25,000",300
14171,"$25,000 under $50,000",280
14171,"$50,000 under $75,000",160
14171,"$75,000 under $100,000",110
14171,"$100,000 under $200,000",130
14171,"$200,000 or more",**
14172,Total,"1,590"
14172,"$1 under $25,000",480
14172,"$25,000 under $50,000",360
14172,"$50,000 under $75,000",220
14172,"$75,000 under $100,000",210
14172,"$100,000 under $200,000",270
14172,"$200,000 or more",50
14174,Total,"2,930"
14174,"$1 under $25,000",800
14174,"$25,000 under $50,000",610
14174,"$50,000 under $75,000",440
14174,"$75,000 under $100,000",350
14174,"$100,000 under $200,000",560
14174,"$200,000 or more",170
14201,Total,"4,940"
14201,"$1 under $25,000","2,250"
14201,"$25,000 under $50,000","1,490"
14201,"$50,000 under $75,000",570
14201,"$75,000 under $100,000",250
14201,"$100,000 under $200,000",290
14201,"$200,000 or more",90
14202,Total,"1,780"
14202,"$1 under $25,000",580
14202,"$25,000 under $50,000",470
14202,"$50,000 under $75,000",230
14202,"$75,000 under $100,000",100
14202,"$100,000 under $200,000",190
14202,"$200,000 or more",210
14203,Total,920
14203,"$1 under $25,000",320
14203,"$25,000 under $50,000",230
14203,"$50,000 under $75,000",150
14203,"$75,000 under $100,000",70
14203,"$100,000 under $200,000",100
14203,"$200,000 or more",50
14204,Total,"3,620"
14204,"$1 under $25,000","1,800"
14204,"$25,000 under $50,000","1,040"
14204,"$50,000 under $75,000",430
14204,"$75,000 under $100,000",160
14204,"$100,000 under $200,000",160
14204,"$200,000 or more",30
14206,Total,"9,710"
14206,"$1 under $25,000","4,090"
14206,"$25,000 under $50,000","3,230"
14206,"$50,000 under $75,000","1,340"
14206,"$75,000 under $100,000",620
14206,"$100,000 under $200,000",410
14206,"$200,000 or more",20
14207,Total,"10,380"
14207,"$1 under $25,000","5,250"
14207,"$25,000 under $50,000","3,550"
14207,"$50,000 under $75,000",970
14207,"$75,000 under $100,000",370
14207,"$100,000 under $200,000",240
14207,"$200,000 or more",**
14208,Total,"4,230"
14208,"$1 under $25,000","2,230"
14208,"$25,000 under $50,000","1,310"
14208,"$50,000 under $75,000",410
14208,"$75,000 under $100,000",170
14208,"$100,000 under $200,000",110
14208,"$200,000 or more",**
14209,Total,"3,500"
14209,"$1 under $25,000","1,180"
14209,"$25,000 under $50,000",990
14209,"$50,000 under $75,000",520
14209,"$75,000 under $100,000",230
14209,"$100,000 under $200,000",340
14209,"$200,000 or more",240
14210,Total,"6,560"
14210,"$1 under $25,000","2,850"
14210,"$25,000 under $50,000","2,180"
14210,"$50,000 under $75,000",880
14210,"$75,000 under $100,000",400
14210,"$100,000 under $200,000",250
14210,"$200,000 or more",**
14211,Total,"9,550"
14211,"$1 under $25,000","5,480"
14211,"$25,000 under $50,000","2,920"
14211,"$50,000 under $75,000",700
14211,"$75,000 under $100,000",270
14211,"$100,000 under $200,000",180
14211,"$200,000 or more",**
14212,Total,"4,790"
14212,"$1 under $25,000","2,600"
14212,"$25,000 under $50,000","1,460"
14212,"$50,000 under $75,000",430
14212,"$75,000 under $100,000",170
14212,"$100,000 under $200,000",130
14212,"$200,000 or more",**
14213,Total,"9,960"
