"","zipcode","n_rats","borough","neighborhood","n_rest","rest_to_rat","rat_to_rest","score_avg","score_to_rat","rat_to_score","population","rat_per_cap","tax_rating","rat_to_tax"
"42","10065",431,"Manhattan","Upper East Side",1388,3.22041763341067,0.310518731988473,20.1152737752161,0.0466711688520096,21.4265042979943,NA,NA,4.08976063829787,105.38514062754
"43","10069",49,NA,NA,13,0.26530612244898,3.76923076923077,16.7692307692308,0.342229199372057,2.92201834862385,6504,0.00753382533825338,4.39297124600639,11.1541818181818
"44","10075",724,"Manhattan","Upper East Side",866,1.19613259668508,0.836027713625866,22.9942263279446,0.0317599811159455,31.4861648169537,NA,NA,4.07976366322009,177.461259956553
"45","10111",1,NA,NA,44,44,0.0227272727272727,19.6136363636364,19.6136363636364,0.0509849362688297,NA,NA,NA,NA
"46","10112",2,NA,NA,70,35,0.0285714285714286,12.1571428571429,6.07857142857143,0.164512338425382,NA,NA,NA,NA
"47","10118",1,NA,NA,41,41,0.024390243902439,11.4390243902439,11.4390243902439,0.0874200426439232,NA,NA,NA,NA
"48","10119",1,NA,NA,57,57,0.0175438596491228,11.1052631578947,11.1052631578947,0.0900473933649289,NA,NA,NA,NA
"49","10121",1,NA,NA,447,447,0.00223713646532438,9.91275167785235,9.91275167785235,0.100880162491537,NA,NA,NA,NA
"50","10128",1984,"Manhattan","Upper East Side",1279,0.644657258064516,1.5512118842846,21.9491790461298,0.0110630942772832,90.3906244434154,57993,0.034211025468591,3.90656887755102,507.86254183332
"51","10151",1,NA,NA,3,3,0.333333333333333,4.66666666666667,4.66666666666667,0.214285714285714,NA,NA,NA,NA
"52","10271",1,NA,NA,19,19,0.0526315789473684,14.3157894736842,14.3157894736842,0.0698529411764706,NA,NA,NA,NA
"53","10280",33,"Manhattan","Lower Manhattan",173,5.24242424242424,0.190751445086705,20.0404624277457,0.607286740234717,1.6466685895587,9372,0.00352112676056338,4.38995215311005,7.51716621253406
"54","10282",32,NA,NA,110,3.4375,0.290909090909091,17.1818181818182,0.536931818181818,1.86243386243386,6086,0.00525796910943148,4.83663366336634,6.61617195496418
"55","10301",881,"Staten Island","Stapleton and St. George",887,1.00681044267877,0.993235625704622,20.7012401352875,0.0234974348868189,42.5578368369459,38001,0.0231836004315676,2.73231773667029,322.436877737953
"56","10302",533,"Staten Island","Port Richmond",568,1.0656660412758,0.938380281690141,19.6038732394366,0.0367802499801813,27.188504714863,17942,0.0297068331289711,2.46604215456674,216.135802469136
"57","10303",590,"Staten Island","Port Richmond",318,0.538983050847458,1.85534591194969,18.125786163522,0.0307216714635966,32.5503122831367,27164,0.0217199234280666,2.32128829536528,254.169204737733
"58","10304",725,"Staten Island","Stapleton and St. George",409,0.564137931034483,1.77261613691932,18.3765281173594,0.0253469353342888,39.4525013304949,42133,0.017207414615622,2.51955577015934,287.749137600613
"59","10305",743,"Staten Island","Stapleton and St. George",746,1.00403768506057,0.99597855227882,17.3994638069705,0.0234178516917503,42.7024653312789,42968,0.0172919381865574,2.68669314796425,276.548142672334
"60","10306",1078,"Staten Island","South Shore",944,0.87569573283859,1.14194915254237,19.0847457627119,0.0177038457910129,56.4849023090586,54318,0.0198460915350344,2.92930728241563,368.005093378608
"61","10307",166,"Staten Island","South Shore",218,1.31325301204819,0.761467889908257,14.7798165137615,0.0890350392395269,11.2315332091868,15053,0.0110277021191789,3.23903177004539,51.2498832321345
"62","10308",494,"Staten Island","South Shore",363,0.734817813765182,1.36088154269972,16.9256198347107,0.034262388329374,29.1865234375,28901,0.0170928341579876,3.1334300217549,157.654709557973
"63","10309",393,"Staten Island","South Shore",576,1.46564885496183,0.682291666666667,15.9427083333333,0.0405666878710772,24.6507677229663,33896,0.011594288411612,3.20943762120233,122.451359516616
"64","10310",730,"Staten Island","Port Richmond",481,0.658904109589041,1.51767151767152,16.6029106029106,0.0227437131546721,43.9681943400952,24168,0.0302052300562728,2.68474576271186,271.906565656566
"65","10312",993,"Staten Island","South Shore",620,0.624370594159114,1.60161290322581,17.2870967741935,0.0174089594906279,57.441686881881,61114,0.0162483228065582,3.16421895861148,313.821518987342
"66","10314",1228,"Staten Island","Mid-Island",1401,1.14087947882736,0.876516773733048,18.2526766595289,0.0148637432080854,67.2778038479587,89938,0.0136538504302964,2.92767900048054,419.444891259746
